FRA_454;Alpes;;;;;;;;;;;;;x
FRA_460;Pyrenees;;;;;;;;;;;;;x
SPA_492;Vasconia;;;;;;;;;;;;;x
SPA_495;Aragón;;;;;;;;;;;;;x
SPA_507;Murcia;;;;;;;;;;;;;x
POR_518;Beira;;;;;;;;;;;;;x
PAP_741;Romagna;;;;;;;;;;;;;x
TUR_823;Western Thrace;;;;;;;;;;;;;x
GRE_827;Ionian Islands;;;;;;;;;;;;;x
TUR_860;Eastern Thrace;;;;;;;;;;;;;x
TUR_805;Macedonia;;;;;;;;;;;;;x
TUR_861;Istanbul;;;;;;;;;;;;;x
EGY_848;Crete;;;;;;;;;;;;;x

give_military_access_title;Give Our Protectors Military Access;;;;;;;;;;;;
give_military_access_desc;Now that other countries are exerting significant influence over us, it is only natural that we allow them to station troops within our borders. For our protection, of course.;;;;;;;;;;;;
remove_military_access_title;Revoke Outdated Military Access;;;;;;;;;;;;
remove_military_access_desc;We are still allowing certain nations to station troops within our borders, despite them no longer protecting us. For national security we must revoke their access immediately.;;;;;;;;;;;;
